0.75 1.454098064222658e-07 4.318067475514334e-08 18
1.5 7.865110444820332e-08 2.539762084419893e-07 62
2.25 4.469203485618818e-08 2.582401018821143e-07 98
3 5.029554535071067e-08 5.587774483905693e-07 210
3.75 5.265153941800271e-08 5.972407856882777e-07 350
4.5 1.518237627810331e-08 3.147651081624064e-07 450
5.25 7.882439995742e-09 2.454538472273515e-07 602
6 4.332359486322516e-09 1.388205947308981e-07 762
6.75 2.037262739394018e-09 8.754698279662474e-08 1142
7.5 7.53267930647159e-10 3.74731455064222e-08 1250
8.25 2.749408447039938e-10 1.808117726457578e-08 1458
9 1.594182533592899e-10 8.985932584903941e-09 1814
9.75 7.191450287376503e-11 4.241737250938164e-09 2178
10.5 2.833049141766549e-11 2.22951439326475e-09 2498
11.25 1.274888425393174e-11 9.162518664066518e-10 2622
12 6.947967921802638e-12 6.168615792955237e-10 3191
12.75 2.126704753939795e-12 1.936862984341292e-10 3044
13.5 6.289825518260288e-13 6.761102244713625e-11 2736
14.25 2.105898941636614e-13 2.207884141762934e-11 2276
15 7.588226633667144e-14 9.431635233827422e-12 2016
15.75 2.526177811889464e-14 3.077207187086507e-12 1640
16.5 6.26090249875124e-15 9.204994586178441e-13 1056
17.25 1.669108200527985e-15 3.166133250201195e-13 683
18 3.094852484948388e-16 4.363375412686156e-14 350
18.75 7.800693736733707e-17 1.716258767216608e-14 192
19.5 1.360764451370938e-17 1.690052111002663e-15 44
20.25 9.90454842023066e-18 1.229567690706566e-15 25
