0.75 5.573559933674386e-08 1.878270428202613e-07 18
1.5 1.315448591358457e-07 3.177656668413901e-07 62
2.25 1.02422115065256e-07 4.185898856248392e-07 98
3 3.99577239223819e-08 4.695078886843316e-07 210
3.75 1.372297607043341e-08 2.658595795699078e-07 350
4.5 4.209982805089797e-09 9.871412900090656e-08 450
5.25 1.83476375813382e-09 4.218725888257765e-08 602
6 9.079334844738548e-10 2.475207741256976e-08 762
6.75 2.758303256224025e-10 9.496597222998812e-09 1142
7.5 6.833783268043748e-11 2.890604106863142e-09 1250
8.25 2.227902866972014e-11 1.217730027513429e-09 1458
9 8.845274751316398e-12 5.195421551340612e-10 1814
9.75 2.262486726657474e-12 1.405345253068329e-10 2178
10.5 5.006938138989085e-13 3.259437413719371e-11 2498
11.25 1.434605793850204e-13 9.833010994564295e-12 2622
12 4.165882172608331e-14 3.209419772536025e-12 3191
12.75 6.93083766781206e-15 7.263227703182947e-13 3044
13.5 1.343595846753022e-15 1.131012238043507e-13 2736
14.25 2.362773924116638e-16 2.381300837984947e-14 2276
15 4.698321499859619e-17 5.641049330378451e-15 2016
15.75 1.005292416354857e-17 1.334201260098416e-15 1640
16.5 7.120931621034494e-19 8.805514193623524e-17 1056
17.25 8.379679279691278e-20 1.368181664236824e-17 683
18 6.353039777489447e-21 1.488731619047637e-18 350
18.75 1.435265716180927e-21 1.382772480945997e-19 192
19.5 6.108300996242269e-23 7.491342142740464e-21 44
20.25 3.70388591084608e-23 1.078680790917131e-21 25
