
0.1 1.916813995161092e-19 2.745612795718923e-21 18
0.2 4.219533998394694e-19 3.039221421699059e-20 62
0.3 8.64886804794658e-19 5.387388468203755e-20 98
0.4 1.403251378347065e-18 2.330112319131969e-19 210
0.5 2.69690769969428e-18 6.134508615571372e-19 350
0.6 3.021413080812131e-18 1.19510784327053e-18 450
0.7 4.807111236585845e-18 2.248930048958387e-18 602
0.8 5.844771497204946e-18 3.458207144782744e-18 762
0.9 8.979069785958013e-18 6.416577621576529e-18 1142
1 9.887040196669501e-18 8.837258120838215e-18 1250
1.1 1.191431769654659e-17 1.269797335060307e-17 1458
1.2 1.411010698415897e-17 1.754347525148766e-17 1814
1.3 1.754599240664574e-17 2.608113231041196e-17 2178
1.4 2.156645912064128e-17 3.38570947600825e-17 2498
1.5 2.42312888049066e-17 4.016044073059068e-17 2622
1.6 3.11146582932276e-17 5.613790606911816e-17 3338
1.7 3.371885536701305e-17 7.168023906032233e-17 3722
1.8 4.059991998348956e-17 8.664174043681718e-17 4170
1.9 4.185405780975944e-17 1.008473838878001e-16 4358
2 4.703634385352697e-17 1.202460210678709e-16 4827
2.1 5.129128285199023e-17 1.30547916733435e-16 4928
2.2 4.075152800601973e-17 1.243284066451989e-16 4260
2.3 4.164550978118393e-17 1.247957373158313e-16 4040
2.4 3.724587318160682e-17 1.224261681279441e-16 3596
2.5 3.276651640365115e-17 1.173974658563861e-16 3180
2.6 2.883875789202799e-17 9.790416894036953e-17 2660
2.7 2.168923298553998e-17 7.874716617121188e-17 1956
2.8 1.531745053505884e-17 5.8648001318248e-17 1445
2.9 9.192754038312501e-18 4.247376036850935e-17 866
3 5.906804055979133e-18 2.285884666019105e-17 558
3.1 3.409455580058676e-18 1.607721925347533e-17 344
3.2 1.463204054412362e-18 9.570219207172286e-18 174
3.3 4.859772456277115e-19 1.730729304031231e-18 50
3.4 2.588050151822031e-20 3.74707472648101e-19 13
