0.75 5.96005850833764e-19 1.249819968446202e-18 18
1.5 2.118010588057831e-18 1.099824508162822e-17 62
2.25 5.798806693935352e-18 3.876851667271411e-17 98
3 1.262045067758842e-17 1.22068130182962e-16 210
3.75 1.619730979956088e-17 2.07464283465491e-16 350
4.5 5.096441623023784e-27 8.907486218894406e-26 450
5.25 3.625021262990961e-27 7.963436484389674e-26 602
6 1.885913254675583e-29 6.217212657815276e-28 762
6.75 8.444018128501265e-30 3.113536638192952e-28 1142
7.5 2.318831273750592e-31 9.743213212505874e-30 1250
8.25 3.012705144707214e-34 1.57528504608568e-32 1458
9 4.535917672753369e-34 2.640129305309669e-32 1814
9.75 5.737454287052367e-34 3.581428779613049e-32 2178
10.5 6.041366770701258e-34 4.774945823195729e-32 2498
11.25 6.827772470071475e-34 5.802917743564752e-32 2622
12 1.077256095016374e-33 8.745657868302221e-32 3191
12.75 9.407695786676535e-34 9.14270102964446e-32 3044
13.5 8.994174389804239e-34 9.838518486732175e-32 2736
14.25 7.460774498406664e-34 9.068047965875589e-32 2276
15 7.169638161127153e-34 8.658212730744851e-32 2016
15.75 7.020938403619113e-34 9.073393706535753e-32 1640
16.5 4.262724883594158e-34 6.209855031133664e-32 1056
17.25 2.963990615705706e-34 4.819367045630609e-32 683
18 1.571286042491369e-34 2.514787383962713e-32 350
18.75 9.301180905577748e-35 1.435458505806089e-32 192
19.5 2.514582222142411e-35 4.155328622654248e-33 44
20.25 1.518056005278292e-35 2.396215125624212e-33 25
