0.75 1.803251289407321e-07 5.886412677155686e-08 18
1.5 1.412078791561225e-09 6.431531073353416e-09 62
2.25 1.606728974454157e-11 1.464900685533883e-10 98
3 5.801587269436935e-13 1.055994417507001e-11 210
3.75 2.625504980397514e-15 1.009522336688356e-13 350
4.5 2.911776078487344e-17 1.385012869310008e-15 450
5.25 5.834041280370154e-19 3.231989900123508e-17 602
6 7.402180893105354e-21 4.661498133142437e-19 762
6.75 6.258655666412996e-23 5.834093758590373e-21 1142
7.5 6.200630723960075e-25 6.387102367527922e-23 1250
8.25 6.879127687833198e-27 9.274546853900273e-25 1458
9 4.627115035316412e-29 7.57799957929624e-27 1814
9.75 1.413267222923378e-30 2.3396656626977e-28 2178
10.5 7.78894144031805e-33 1.65691364646747e-30 2498
11.25 4.634947129957406e-34 4.755881692208692e-32 2622
12 5.697293137659744e-34 4.547077149097708e-32 3191
12.75 5.101564867837044e-34 4.717468404069374e-32 3044
13.5 4.923130444443033e-34 4.936150942149025e-32 2736
14.25 4.441166515666075e-34 5.025925516618759e-32 2276
15 4.285975598554123e-34 5.382423269399295e-32 2016
15.75 3.768044630901399e-34 4.739648286683534e-32 1640
16.5 2.529287071195535e-34 3.265757895015809e-32 1056
17.25 2.226690029405879e-34 2.536293219121863e-32 683
18 8.672151020336323e-35 1.471676377649502e-32 350
18.75 4.977136846930925e-35 1.005995125634417e-32 192
19.5 1.701591225663843e-35 2.700056196053718e-33 44
20.25 4.18107960327673e-36 1.0654388977789e-33 25
