0.75 1.170669585108564e-16 4.748380851945171e+20 18
1.5 1.022139477436355e-15 4.145924336307018e+21 62
2.25 2.28884182089834e-15 9.283825952031645e+21 98
3 5.915584504750817e-15 2.399434353444609e+22 210
3.75 7.646763566740611e-15 3.101622025679934e+22 350
4.5 9.314991611150853e-47 4.039586984147817e-10 450
5.25 1.300108562127845e-46 4.904083812835258e-10 602
6 1.137204196068967e-46 4.885038453433064e-10 762
6.75 1.51937403822705e-46 6.484094794451961e-10 1142
7.5 2.462350402128288e-46 8.630526277890925e-10 1250
8.25 2.19795664842912e-46 1.007446555828649e-09 1458
9 3.176606112084001e-46 1.234867497835825e-09 1814
9.75 3.121149125847027e-46 1.296488286148817e-09 2178
10.5 3.513762874002442e-46 1.671921639652515e-09 2498
11.25 4.716315722226053e-46 1.796086530630801e-09 2622
12 3.759485950765836e-46 1.601195426040022e-09 3191
12.75 3.033536522648397e-46 1.190193077829624e-09 3044
13.5 2.259063618759235e-46 8.959115802322997e-10 2736
14.25 1.865296304098081e-46 7.878611630345587e-10 2276
15 1.608263173084347e-46 5.853371482027982e-10 2016
15.75 1.440426091529447e-46 5.555613124404702e-10 1640
16.5 7.436599840394326e-47 3.193431652259204e-10 1056
17.25 4.14689591584904e-47 1.701579369779336e-10 683
18 1.84930766403719e-47 1.160747035474822e-10 350
18.75 1.031023331702863e-47 4.469200943324966e-11 192
19.5 2.238514856346084e-48 1.728338304345048e-11 44
20.25 1.439727955491721e-48 6.619513505187539e-12 25


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3191
12.75 -nan -nan 3044
13.5 -nan -nan 2736
14.25 -nan -nan 2276
15 -nan -nan 2016
15.75 -nan -nan 1640
16.5 -nan -nan 1056
17.25 -nan -nan 683
18 -nan -nan 350
18.75 -nan -nan 192
19.5 -nan -nan 44
20.25 -nan -nan 25


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3191
12.75 -nan -nan 3044
13.5 -nan -nan 2736
14.25 -nan -nan 2276
15 -nan -nan 2016
15.75 -nan -nan 1640
16.5 -nan -nan 1056
17.25 -nan -nan 683
18 -nan -nan 350
18.75 -nan -nan 192
19.5 -nan -nan 44
20.25 -nan -nan 25


0.75 -nan -nan 18
1.5 -nan -nan 62
2.25 -nan -nan 98
3 -nan -nan 210
3.75 -nan -nan 350
4.5 -nan -nan 450
5.25 -nan -nan 602
6 -nan -nan 762
6.75 -nan -nan 1142
7.5 -nan -nan 1250
8.25 -nan -nan 1458
9 -nan -nan 1814
9.75 -nan -nan 2178
10.5 -nan -nan 2498
11.25 -nan -nan 2622
12 -nan -nan 3191
12.75 -nan -nan 3044
13.5 -nan -nan 2736
14.25 -nan -nan 2276
15 -nan -nan 2016
15.75 -nan -nan 1640
16.5 -nan -nan 1056
17.25 -nan -nan 683
18 -nan -nan 350
18.75 -nan -nan 192
19.5 -nan -nan 44
20.25 -nan -nan 25


